Question,Class
DET VERB NOUN ADP DET NOUN NOUN ADP DET NOUN ADP PROPN CCONJ NOUN ADP DET PROPN AUX VERB NOUN DET,DIFFICULT
NOUN AUX ADJ ADP DET NOUN NOUN SCONJ PRON,DIFFICULT
DET NOUN ADP DET PROPN NOUN NOUN ADJ NOUN VERB DET NOUN PART,EASY
DET NOUN VERB ADJ NOUN PART ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADP DET ADJ NOUN AUX ADV VERB ADP,EASY
PRON AUX DET NOUN ADP NOUN NOUN ADV ADP DET ADJ NOUN,EASY
PRON AUX ADJ ADJ NOUN ADP NOUN NOUN ADP PROPN DET ADP DET NOUN AUX DET VERB NOUN AUX ADP ADJ,EASY
DET NOUN ADJ VERB DET NOUN ADP AUX VERB ADP NOUN,EASY
ADV DET ADJ NOUN VERB ADP DET ADJ NOUN AUX VERB DET NOUN ADP NOUN AUX DET,EASY
DET NOUN NOUN VERB NOUN NOUN ADP NOUN ADV ADP,EASY
PROPN VERB DET NOUN CCONJ VERB PART VERB WHAT NOUN PRON AUX DET NOUN ADP NOUN ADP DET NOUN VERB ADV VERB PRON PART VERB PRON,EASY
PRON AUX DET NOUN ADP NOUN ADP DET ADJ NOUN,DIFFICULT
DET NOUN ADP NOUN VERB VERB ADJ NOUN NOUN SCONJ PRON AUX VERB ADV,EASY
ADJ NOUN AUX NOUN ADP DET PROPN NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN DET PROPN AUX ADJ ADP NOUN NOUN ADP DET NOUN,EASY
DET NOUN NOUN AUX ADJ ADP VERB ADP NOUN ADP NOUN SCONJ PRON VERB,EASY
NOUN AUX VERB WHEN NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN DET NOUN VERB,EASY
DET NOUN VERB VERB NOUN NOUN NOUN CCONJ AUX VERB ADP DET NOUN,EASY
DET ADP DET NOUN DET PROPN NOUN ADP NOUN ADP DET NOUN,EASY
DET NOUN ADP NOUN ADP DET NOUN AUX VERB SCONJ PRON VERB ADP DET NOUN ADP PROPN DET VERB DET NOUN ADP,DIFFICULT
NOUN AUX VERB DET NOUN NOUN ADP DET NOUN DET AUX NOUN ADP DET ADJ NOUN NOUN DET NOUN VERB VERB WHEN VERB DET NOUN ADP DET NOUN,DIFFICULT
DET NOUN AUX VERB ADP DET NOUN NOUN CCONJ VERB ADP DET NOUN SCONJ DET NOUN AUX ADJ DET NOUN VERB,DIFFICULT
DET NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN ADV ADV AUX WHICH NOUN,DIFFICULT
DET NOUN NOUN AUX ADV NUM NOUN ADJ WHEN PRON AUX SCONJ DET NOUN PRON VERB ADP ADV NUM NOUN ADJ ADP ADJ NOUN DET VERB ADV ADV VERB DET NOUN VERB ADJ ADP ADJ NOUN,DIFFICULT
DET ADP DET NOUN ADP ADJ AUX DET ADJ NOUN ADP DET NOUN ADP PROPN,EASY
DET NOUN VERB ADV VERB ADP ADJ NOUN AUX VERB ADP DET NOUN,EASY
ADJ NOUN AUX VERB ADP SCONJ DET NOUN ADP DET NOUN SCONJ,DIFFICULT
DET ADP DET VERB AUX VERB ADP NOUN NOUN ADP NOUN PART VERB,EASY
PROPN VERB DET NOUN DET PROPN NOUN ADP DET NOUN ADP PRON VERB PRON VERB DET NOUN PART VERB SCONJ DET NOUN AUX ADP NOUN DET AUX ADV ADJ ADP DET NOUN ADP ADJ NOUN ADP DET NOUN,EASY
PROPN AUX DET ADJ NOUN CCONJ NOUN ADP VERB PROPN PROPN AUX DET NOUN ADP,EASY
DET ADP DET VERB VERB ADV ADV VERB ADP DET ADJ NOUN NOUN,EASY
DET NOUN VERB ADV VERB NOUN CCONJ NOUN VERB ADP NOUN,EASY
PRON AUX DET ADJ NOUN ADP DET NOUN DET VERB DET NOUN ADP DET NOUN,EASY
ADP WHICH NOUN ADP DET NOUN AUX NOUN ADV ADV VERB NOUN,EASY
DET ADJ NOUN VERB VERB DET NOUN NOUN PART VERB ADP DET NOUN ADJ SCONJ ADV ADV,EASY
PRON AUX DET NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP NUM NOUN PROPN,EASY
ADP WHICH NOUN ADP NOUN NOUN AUX NOUN NOUN ADV VERB,EASY
ADJ NOUN ADV VERB ADJ ADP ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN DET ADJ NOUN VERB PART VERB DET NOUN AUX NOUN SCONJ PRON AUX ADJ VERB ADV NOUN DET VERB VERB PART VERB NOUN AUX DET NOUN ADP,EASY
ADJ NOUN AUX VERB ADP WHICH ADJ NOUN NOUN,EASY
NOUN ADP DET NOUN NOUN VERB ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN DET NOUN VERB ADV AUX VERB ADP DET NOUN ADP DET NOUN,DIFFICULT
SCONJ DET ADV PUNCT VERB NOUN DET VERB NOUN AUX DET NOUN ADP NOUN VERB,DIFFICULT
DET ADJ NOUN AUX AUX VERB ADP DET NOUN ADP DET ADJ NOUN DET VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN SCONJ DET,DIFFICULT
DET NOUN ADP ADJ NOUN VERB NOUN,EASY
DET NOUN AUX ADV VERB ADP NOUN,EASY
PROPN VERB DET NOUN ADP NUM PUNCT PROPN DET NOUN AUX PROPN ADV ADV VERB PART VERB,EASY
DET NOUN VERB ADJ NOUN NOUN,EASY
NOUN ADP DET ADJ NOUN AUX AUX VERB DET NOUN DET NOUN AUX ADP PROPN NUM ADP DET NOUN AUX VERB AUX HOW DET NOUN ADP ADJ NOUN VERB DET NOUN DET NOUN ADP ADJ NOUN NOUN AUX DET NOUN ADV ADV VERB,DIFFICULT
ADV NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PRON ADV VERB,EASY
DET NOUN ADP NOUN VERB VERB NOUN,EASY
ADV ADP DET NOUN AUX NOUN VERB,EASY
DET NUM ADJ NOUN NOUN AUX DET ADJ NOUN ADP NOUN ADP PRON,EASY
ADJ NOUN CCONJ ADJ NOUN AUX NOUN DET VERB ADJ ADP DET NOUN ADP DET NOUN ADP PRON VERB DET NOUN DET NOUN NOUN VERB ADV ADP VERB DET NOUN ADP NOUN PART WHICH ADJ NOUN,EASY
DET NOUN AUX VERB ADP ADJ NOUN CCONJ AUX DET ADV ADJ NOUN ADP DET ADJ NOUN,EASY
DET NOUN ADP NOUN NOUN WHICH AUX VERB PART VERB ADJ NOUN AUX ADJ ADP DET NOUN ADP WHICH NOUN,EASY
PRON AUX DET NOUN ADP NOUN CCONJ ADJ NOUN,EASY
DET VERB ADV ADJ AUX ADJ NOUN,EASY
DET ADJ NOUN CCONJ DET NOUN AUX ADJ NOUN DET NOUN AUX ADV VERB SCONJ,EASY
NOUN AUX VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NUM NOUN DET NOUN AUX NOUN VERB NOUN ADP DET NOUN ADP NOUN,EASY
NOUN NOUN VERB DET NOUN VERB NOUN ADP NOUN DET NOUN VERB NOUN DET NOUN NOUN NOUN ADP VERB VERB PUNCT NOUN NOUN ADV NOUN VERB DET NOUN PRON VERB DET WHICH PROPN DET VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN DET VERB NOUN NOUN DET NOUN VERB PRON VERB ADP DET NOUN VERB ADP DET,DIFFICULT
ADV ADP DET DET NOUN DET VERB NOUN NOUN VERB ADP ADJ NOUN NOUN ADP DET NOUN NOUN ADV ADP DET DET NOUN ADP DET NOUN VERB ADP ADJ NOUN DET ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN,EASY
ADP NOUN ADJ NOUN AUX VERB ADP NOUN PART VERB VERB ADP DET NOUN ADV ADP WHICH NOUN AUX ADJ ADP DET NOUN VERB,EASY
NOUN NOUN AUX VERB ADP NOUN ADP DET NOUN SCONJ DET NOUN NOUN DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN,EASY
NOUN ADP ADP DET ADJ NOUN VERB ADP DET PROPN DET NOUN VERB ADP DET NOUN NOUN DET NOUN ADP DET NOUN AUX ADV ADJ ADP WHICH NOUN,EASY
PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN DET NOUN VERB ADV ADP ADJ NOUN PRON VERB DET NOUN PART VERB ADP,EASY
PRON VERB DET NOUN AUX SCONJ PRON VERB DET ADJ PROPN NOUN ADP DET NOUN NOUN NOUN,DIFFICULT
PROPN VERB SCONJ NOUN ADP DET NOUN AUX ADJ NOUN NOUN SCONJ ADP ADJ NOUN DET NOUN VERB DET ADJ NOUN ADP NOUN ADP DET PROPN PROPN,EASY
NOUN VERB NOUN PRON VERB ADJ NOUN ADJ ADP ADJ NOUN,EASY
DET NOUN VERB ADP DET NOUN CCONJ NOUN ADP NOUN,EASY
DET NOUN AUX ADJ ADP NOUN,EASY
ADV AUX DET NOUN VERB NOUN,DIFFICULT
ADP DET NOUN PRON AUX DET NOUN ADP ADJ NOUN DET VERB DET NOUN ADP DET NOUN ADP ADJ NOUN DET NOUN ADP NOUN VERB ADV ADJ,DIFFICULT
DET NOUN ADP DET NOUN NOUN AUX VERB ADP DET ADJ NOUN ADJ ADJ SCONJ DET NOUN AUX ADV NOUN DET NOUN VERB ADV AUX VERB SCONJ,EASY
VERB NOUN VERB ADP DET ADJ NOUN AUX VERB,EASY
DET ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN AUX VERB,EASY
DET VERB NOUN VERB NOUN,EASY
DET NOUN NOUN PROPN AUX DET ADJ NOUN DET NOUN NOUN VERB DET NOUN NOUN DET AUX ADJ PART VERB,EASY
ADV NOUN VERB DET NOUN NOUN DET NOUN AUX,EASY
PROPN VERB NOUN VERB WHICH NOUN ADP DET NOUN,EASY
ADP NOUN WHERE AUX DET NOUN ADP NOUN ADP DET NOUN NOUN ADV VERB NOUN,EASY
DET NOUN VERB DET NUM NOUN NOUN ADP DET NOUN PART VERB DET NOUN ADP NOUN ADP NOUN NOUN ADP DET NOUN DET NOUN ADP DET NOUN VERB AUX ADV ADJ PART VERB ADP NOUN PUNCT,EASY
ADP DET ADJ NOUN ADP NOUN ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN DET NOUN VERB VERB ADP,DIFFICULT
DET NOUN VERB ADP NOUN DET VERB ADP DET NOUN NOUN VERB ADJ ADJ NOUN,EASY
DET NOUN VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN NUM NOUN ADV ADV NOUN AUX ADP DET NOUN DET NOUN VERB DET NOUN NOUN PART VERB ADP NOUN,EASY
ADV VERB ADP DET NOUN NOUN NOUN NOUN VERB VERB NOUN DET NOUN AUX DET NOUN NOUN VERB ADP,EASY
DET ADJ NOUN ADP NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN AUX,EASY
DET ADP DET VERB NOUN ADV ADP NOUN,EASY
PROPN NOUN VERB NOUN DET AUX VERB ADP VERB PROPN NOUN VERB DET NOUN ADP VERB PROPN NOUN ADV VERB NOUN CCONJ VERB PRON ADP DET NOUN ADV ADV ADV ADP DET NOUN NOUN NOUN PROPN NOUN AUX PART VERB DET NOUN ADP DET NOUN PRON VERB ADV AUX NOUN NOUN VERB ADP PROPN PROPN PART NOUN CCONJ NOUN,DIFFICULT
PART VERB DET NOUN DET NOUN VERB AUX VERB ADV PUNCT,EASY
PROPN PART NOUN NOUN AUX DET ADJ ADJ ADJ NOUN VERB ADP ADJ NOUN ADP PROPN ADP PROPN PROPN NOUN ADP ADJ NOUN AUX VERB SCONJ ADJ NOUN VERB DET ADJ NOUN ADV NOUN DET NOUN NOUN VERB NOUN ADP,EASY
NOUN AUX DET NOUN ADP NOUN PART WHICH NOUN,EASY
PROPN VERB DET NOUN NOUN PRON VERB DET NOUN ADP WHAT DET NOUN NOUN VERB PART VERB CCONJ VERB DET NOUN AUX DET NOUN VERB WHEN PRON VERB DET ADJ NOUN,EASY
DET VERB NOUN DET AUX ADJ ADP VERB ADP DET NOUN,EASY
PRON NOUN ADJ VERB DET NOUN PART VERB ADJ NOUN VERB ADP ADJ NOUN,EASY
NOUN VERB VERB ADP DET NOUN ADP DET NOUN DET ADV VERB NOUN ADP DET,EASY
NOUN VERB NOUN ADP DET NOUN ADP ADJ NOUN NOUN ADP DET ADJ NOUN DET NOUN PART NOUN VERB ADV CCONJ DET NOUN VERB PART VERB DET NOUN AUX ADV ADV VERB ADP,DIFFICULT
ADP DET ADJ NOUN ADJ NOUN AUX VERB ADP,EASY
DET NOUN AUX VERB ADV ADV,EASY
DET NOUN VERB DET NOUN AUX NOUN DET NOUN VERB ADV VERB DET NOUN VERB SCONJ DET AUX ADJ,DIFFICULT
DET NOUN NOUN NOUN ADP VERB NOUN,EASY
DET ADJ NOUN VERB ADP NOUN VERB ADJ ADV AUX NOUN ADP DET PROPN VERB ADP DET NOUN,DIFFICULT
NUM NOUN VERB ADP PROPN AUX ADV ADJ SCONJ DET ADJ NOUN SCONJ SCONJ NOUN ADP DET ADJ NOUN SCONJ DET NOUN DET NOUN AUX ADV ADJ ADP DET NOUN DET NOUN VERB DET NOUN,EASY
DET NOUN ADP DET NOUN NOUN DET NOUN VERB DET NOUN NOUN DET NOUN ADP DET NOUN NOUN AUX DET NOUN ADP VERB NOUN ADP DET NOUN ADP NOUN,EASY
DET NOUN AUX NOUN DET VERB PRON DET ADV ADJ NOUN ADP DET NOUN ADP ADJ PUNCT,EASY
DET NOUN ADP ADJ NOUN ADP PROPN CCONJ DET NOUN ADP PROPN AUX VERB SCONJ,EASY
DET NOUN VERB ADV ADP DET NOUN ADP DET NOUN,EASY
DET ADJ ADJ NOUN NOUN ADV VERB NOUN ADP,EASY
DET NOUN NOUN AUX VERB ADP NOUN ADP NOUN,EASY
DET NOUN ADV AUX DET NOUN ADP DET ADJ NOUN,EASY
DET ADP DET ADJ NOUN VERB ADV,EASY
PROPN PART NOUN AUX VERB ADP ADJ NOUN DET NOUN AUX NOUN VERB PART VERB,EASY
ADV AUX ADJ ADJ NOUN NOUN ADP NOUN ADP NOUN CCONJ NOUN,DIFFICULT
SCONJ DET NOUN ADP DET NOUN AUX VERB DET ADJ NOUN ADP NOUN ADV VERB DET NOUN ADP ADJ NOUN DET NOUN ADP DET ADJ NOUN ADP NOUN AUX VERB SCONJ,EASY
DET NOUN NOUN AUX VERB ADJ,EASY
DET NOUN AUX DET NOUN VERB ADP DET NOUN,EASY
ADP WHICH NOUN ADP PROPN PART NOUN AUX NOUN,EASY
DET NOUN VERB ADP NOUN ADP DET NOUN ADV PRON VERB ADV PRON VERB SCONJ DET NOUN ADP DET NOUN AUX VERB ADJ PRON AUX DET ADV ADV ADJ NOUN ADP PRON PART AUX ADP DET ADJ NOUN,DIFFICULT
DET NOUN VERB NOUN ADP DET NOUN CCONJ VERB NOUN ADP,DIFFICULT
DET NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB PART AUX DET NOUN ADP WHICH NOUN,EASY
DET ADP DET VERB VERB ADV ADP DET NOUN NOUN ADP DET NOUN NOUN ADP DET NOUN,EASY
DET NOUN VERB SCONJ NOUN VERB VERB DET NOUN ADP DET NOUN ADV SCONJ VERB DET NOUN NOUN ADP ADJ NOUN DET NOUN VERB ADV CCONJ VERB ADP DET NOUN ADV VERB DET NOUN VERB,DIFFICULT
DET NOUN VERB AUX ADV ADJ ADP VERB WHICH NOUN,EASY
DET NOUN NOUN VERB DET NOUN PART VERB ADJ NOUN ADP VERB WHEN VERB PRON ADJ NOUN ADV VERB DET ADJ NOUN NOUN NOUN ADP PROPN,DIFFICULT
NOUN VERB VERB NOUN ADP WHICH ADP DET VERB NOUN VERB,EASY
ADP NOUN AUX VERB WHICH NOUN AUX ADV ADJ PART VERB PRON,EASY
DET AUX VERB ADP NOUN PART VERB NOUN ADP NOUN,EASY
DET ADP DET ADJ NOUN VERB ADV ADV VERB VERB NOUN NOUN ADP DET NOUN,EASY
DET ADP DET VERB AUX DET NOUN ADP NOUN PUNCT,EASY
ADV AUX DET NOUN ADJ ADP DET NOUN,DIFFICULT
NOUN NOUN VERB NOUN DET NUM NOUN VERB NOUN ADP NOUN NOUN,EASY
NOUN ADP PROPN AUX VERB ADJ ADP DET PROPN SCONJ DET PROPN SCONJ DET PROPN AUX,DIFFICULT
ADV NOUN NOUN AUX VERB ADP DET NOUN CCONJ NOUN AUX PART ADJ WHICH ADP DET VERB VERB ADV ADV VERB,EASY
NOUN ADJ SCONJ DET ADP DET NOUN ADP PROPN AUX VERB ADP ADJ NOUN VERB ADP PROPN ADV AUX DET ADJ NOUN ADP DET PROPN DET ADJ NOUN ADP VERB NOUN SCONJ DET ADJ NOUN ADP DET ADV ADJ PROPN,DIFFICULT
ADV DET NOUN AUX VERB ADP DET NOUN NOUN DET ADJ NOUN VERB DET NOUN ADP DET NOUN PUNCT VERB ADJ NOUN DET ADJ NOUN AUX ADJ ADP VERB DET NOUN ADP DET PROPN,EASY
ADV NOUN NOUN AUX VERB PART VERB DET NOUN WHAT ADJ NOUN ADP DET NOUN NOUN,EASY
ADP DET NOUN ADP ADJ NOUN PRON AUX DET ADJ NOUN ADP ADJ NOUN ADV NOUN AUX VERB PART VERB ADP DET NOUN DET NOUN ADP DET NOUN VERB DET NOUN VERB PRON ADV ADJ DET ADJ NOUN AUX ADV ADJ PART VERB ADP DET NOUN ADP DET NOUN WHEN NOUN VERB ADV,EASY
PROPN AUX DET NOUN DET NOUN AUX VERB ADP DET NOUN,EASY
NOUN VERB SCONJ NOUN ADV VERB ADJ ADP WHAT AUX ADV NOUN WHICH ADP DET NOUN VERB ADP NOUN VERB NOUN PART VERB DET,EASY
ADJ PUNCT NOUN NOUN ADP ADJ NOUN SCONJ PROPN PROPN ADP DET NOUN ADP NOUN AUX VERB DET NOUN WHO NOUN PRON AUX,EASY
ADV DET NOUN VERB DET NOUN ADP DET ADJ NOUN VERB SCONJ PRON,DIFFICULT
DET NOUN AUX VERB PART VERB VERB DET NOUN ADP VERB ADP NOUN,EASY
PROPN VERB DET NOUN ADP DET NOUN DET NOUN VERB ADV ADP DET NOUN SCONJ,DIFFICULT
ADP DET NOUN ADP ADJ VERB DET NOUN ADP NOUN NOUN AUX NUM NOUN ADJ ADP NUM SCONJ PRON AUX ADP DET NOUN NUM SCONJ DET NOUN WHICH DET NOUN VERB VERB NOUN ADV ADV AUX ADP DET NOUN ADP DET NOUN,DIFFICULT
DET NOUN VERB ADV ADP NOUN ADP DET NOUN ADP DET NOUN ADJ,EASY
DET ADP DET NOUN AUX VERB ADP DET NOUN,EASY
PRON VERB VERB ADP DET NOUN DET AUX VERB ADP DET ADJ NOUN NOUN,DIFFICULT
PRON VERB DET ADJ PART VERB NOUN,EASY
DET NOUN AUX VERB PART VERB DET NOUN CCONJ NOUN ADP DET NOUN,EASY
DET ADJ PUNCT ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN ADJ SCONJ DET PROPN AUX ADV ADJ WHICH VERB DET NOUN,EASY
DET NOUN VERB DET NOUN NOUN SCONJ VERB ADP DET NOUN DET NOUN NOUN VERB AUX VERB DET NOUN SCONJ DET NOUN AUX ADP PROPN,EASY
DET ADP DET VERB VERB VERB NOUN VERB DET ADJ,EASY
ADV AUX DET NOUN ADP DET NOUN VERB DET NOUN,DIFFICULT
DET NOUN AUX VERB DET ADJ NOUN SCONJ PRON AUX,DIFFICULT
NOUN NOUN ADV VERB ADP NOUN DET NOUN VERB AUX ADV ADV VERB ADP DET NOUN NOUN,EASY
ADV NUM NOUN NOUN VERB PRON VERB DET,EASY
DET ADJ PUNCT NOUN NOUN ADP ADJ NOUN VERB ADP DET ADJ NUM DET ADP DET VERB AUX DET ADJ NOUN VERB ADP DET ADJ NOUN ADP,EASY
DET NOUN ADP DET NOUN NOUN ADP DET NOUN VERB NOUN ADP,EASY
NOUN AUX DET NOUN NOUN DET VERB PART VERB NOUN CCONJ NOUN VERB ADJ NOUN CCONJ NOUN NOUN DET NOUN NOUN AUX ADV ADJ ADP DET NOUN,EASY
DET ADP DET AUX DET ADJ NOUN PART VERB ADP DET ADV ADJ NOUN,EASY
DET ADP DET VERB NOUN ADP DET NOUN AUX VERB ADP DET NOUN,EASY
NOUN NOUN VERB NOUN NOUN CCONJ ADJ ADJ NOUN AUX ADV VERB ADP WHICH ADP DET,EASY
NUM NOUN PROPN VERB NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADV ADP DET NOUN PRON VERB SCONJ DET NOUN AUX VERB PRON ADV ADV VERB DET NOUN PART VERB,EASY
ADJ NOUN VERB DET ADJ NOUN ADP NOUN PUNCT VERB,DIFFICULT
ADP DET NOUN ADP DET ADJ NOUN NOUN DET NOUN VERB ADP NUM NOUN PRON VERB VERB ADP DET NOUN VERB,DIFFICULT
NOUN NOUN ADP DET NOUN NOUN AUX ADV VERB ADP WHICH ADP DET VERB NOUN,EASY
