text,label,
DET NOUN VERB PART VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN NOUN ADJ NOUN ADP NOUN NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN DET NOUN AUX VERB DET ADJ NOUN ADP NOUN WHAT AUX DET ADJ NOUN ADP DET NOUN,EASY
WHAT VERB VERB DET ADJ NOUN VERB VERB ADP ADJ NOUN,EASY
WHAT ADJ VERB DET ADJ NOUN ADP DET NOUN,DIFFICULT
HOW AUX DET PROPN PROPN NOUN VERB ADP DET NUM PROPN PROPN NOUN,DIFFICULT
HOW ADV VERB SCONJ ADJ,EASY
WHAT AUX ADJ NOUN VERB PART VERB,DIFFICULT
WHICH ADJ VERB DET NOUN ADP DET NOUN VERB SCONJ DET NOUN ADP NOUN,EASY
WHO VERB DET PROPN PROPN PART VERB ADJ NOUN,DIFFICULT
WHAT AUX DET NOUN ADP DET ADJ NOUN VERB ADP PROPN PROPN PROPN,EASY
WHAT NOUN AUX VERB PART VERB NOUN,DIFFICULT